SMILES,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20
CCCCCCCCOCCO,non-ionic,0.0049,2.30980392,26.8,0.0000052,0.32,45,3.17,0.000681,25,10.1021/acs.jpcb.1c05264,10.1016/j.ces.2022.118208,10.1002/9781118228920,10.1002/0471670561,10.1021/j100442a021,10.1021/j100442a021,10.1021/j100442a021,10.1021/j100442a021,
CCCCCCCCOCCOCCOCCO,non-ionic,0.007499,2.124996646,27,0.0000052,0.32,45,3.151923428,0.042769783,25,10.1021/acs.jpcb.1c05264,10.1016/j.ces.2022.118208,10.1002/9781118228920,10.1063/1.1874872,10.1021/j150575a003,,10.1021/j150575a003,calculated,calculated
CCCCCCCCOCCOCCOCCOCCO,non-ionic,0.00865,2.062983893,30.5,,,,,,,10.1021/ie4016232,10.1016/j.ces.2022.118208,,10.1007/s00396-007-1747-0,,,,,
CCCCCCCCOCCOCCOCCOCCOCCO,non-ionic,0.0092,2.036212173,28.8,0.0000014,1.15,43.2,4.7,0.00002,25,10.1021/acs.jpcb.1c05264,,10.1002/9781118228920,,10.1021/j100157a033,10.1021/j100157a033,10.1021/j100157a033,10.1021/j100157a033,10.1021/j100157a033
CCCCCCCCOCCOCCOCCOCCOCCOCCO,non-ionic,0.0099,2.004364805,31.8,,,40.2,,,25,10.1021/acs.jpcb.1c05264,10.1016/j.ces.2022.118208,10.1002/9781118228920,10.1039/TF9646000202,,,,,
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,0.013,1.886056648,,,,,,,25,10.1021/ie4016232,,,,,,,,
CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,0.00302,2.52,,,,,,,25,10.1021/ie4016232,,,,,,,,
CCCCCCCCOCOC(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,0.0016,2.795880017,,,,,,,25,10.1021/ie4016232,,,,,,,,
CCCCCCCCOCOC[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,0.002748,2.560983272,,,,,,,25,10.1021/ie4016232,,,,,,,,
CCCCCCCCOCOC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,0.00263,2.580044252,,,,,,,25,10.1021/ie4016232,,,,,,,,
